id,googleTopic,week_id,value
frozen-yogurt,/m/020b3f,2009-19,33
frozen-yogurt,/m/020b3f,2009-20,27
frozen-yogurt,/m/020b3f,2009-21,36
frozen-yogurt,/m/020b3f,2009-22,32
frozen-yogurt,/m/020b3f,2009-23,41
frozen-yogurt,/m/020b3f,2009-24,40
frozen-yogurt,/m/020b3f,2009-25,42
frozen-yogurt,/m/020b3f,2009-26,48
frozen-yogurt,/m/020b3f,2009-27,37
frozen-yogurt,/m/020b3f,2009-28,42
frozen-yogurt,/m/020b3f,2009-29,42
frozen-yogurt,/m/020b3f,2009-30,38
frozen-yogurt,/m/020b3f,2009-31,41
frozen-yogurt,/m/020b3f,2009-32,35
frozen-yogurt,/m/020b3f,2009-33,36
frozen-yogurt,/m/020b3f,2009-34,22
frozen-yogurt,/m/020b3f,2009-35,39
frozen-yogurt,/m/020b3f,2009-36,24
frozen-yogurt,/m/020b3f,2009-37,22
frozen-yogurt,/m/020b3f,2009-38,25
frozen-yogurt,/m/020b3f,2009-39,20
frozen-yogurt,/m/020b3f,2009-40,21
frozen-yogurt,/m/020b3f,2009-41,12
frozen-yogurt,/m/020b3f,2009-42,15
frozen-yogurt,/m/020b3f,2009-43,19
frozen-yogurt,/m/020b3f,2009-44,16
frozen-yogurt,/m/020b3f,2009-45,15
frozen-yogurt,/m/020b3f,2009-46,16
frozen-yogurt,/m/020b3f,2009-47,11
frozen-yogurt,/m/020b3f,2009-48,13
frozen-yogurt,/m/020b3f,2009-49,13
frozen-yogurt,/m/020b3f,2009-50,11
frozen-yogurt,/m/020b3f,2009-51,11
frozen-yogurt,/m/020b3f,2009-52,18
frozen-yogurt,/m/020b3f,2010-01,17
frozen-yogurt,/m/020b3f,2010-02,18
frozen-yogurt,/m/020b3f,2010-03,21
frozen-yogurt,/m/020b3f,2010-04,19
frozen-yogurt,/m/020b3f,2010-05,20
frozen-yogurt,/m/020b3f,2010-06,18
frozen-yogurt,/m/020b3f,2010-07,19
frozen-yogurt,/m/020b3f,2010-08,23
frozen-yogurt,/m/020b3f,2010-09,21
frozen-yogurt,/m/020b3f,2010-10,22
frozen-yogurt,/m/020b3f,2010-11,29
frozen-yogurt,/m/020b3f,2010-12,29
frozen-yogurt,/m/020b3f,2010-13,25
frozen-yogurt,/m/020b3f,2010-14,32
frozen-yogurt,/m/020b3f,2010-15,29
frozen-yogurt,/m/020b3f,2010-16,30
frozen-yogurt,/m/020b3f,2010-17,28
frozen-yogurt,/m/020b3f,2010-18,33
frozen-yogurt,/m/020b3f,2010-19,33
frozen-yogurt,/m/020b3f,2010-20,40
frozen-yogurt,/m/020b3f,2010-21,37
frozen-yogurt,/m/020b3f,2010-22,47
frozen-yogurt,/m/020b3f,2010-23,45
frozen-yogurt,/m/020b3f,2010-24,49
frozen-yogurt,/m/020b3f,2010-25,54
frozen-yogurt,/m/020b3f,2010-26,57
frozen-yogurt,/m/020b3f,2010-27,49
frozen-yogurt,/m/020b3f,2010-28,56
frozen-yogurt,/m/020b3f,2010-29,61
frozen-yogurt,/m/020b3f,2010-30,48
frozen-yogurt,/m/020b3f,2010-31,59
frozen-yogurt,/m/020b3f,2010-32,48
frozen-yogurt,/m/020b3f,2010-33,56
frozen-yogurt,/m/020b3f,2010-34,44
frozen-yogurt,/m/020b3f,2010-35,44
frozen-yogurt,/m/020b3f,2010-36,40
frozen-yogurt,/m/020b3f,2010-37,31
frozen-yogurt,/m/020b3f,2010-38,40
frozen-yogurt,/m/020b3f,2010-39,35
frozen-yogurt,/m/020b3f,2010-40,28
frozen-yogurt,/m/020b3f,2010-41,27
frozen-yogurt,/m/020b3f,2010-42,25
frozen-yogurt,/m/020b3f,2010-43,25
frozen-yogurt,/m/020b3f,2010-44,20
frozen-yogurt,/m/020b3f,2010-45,25
frozen-yogurt,/m/020b3f,2010-46,23
frozen-yogurt,/m/020b3f,2010-47,24
frozen-yogurt,/m/020b3f,2010-48,18
frozen-yogurt,/m/020b3f,2010-49,19
frozen-yogurt,/m/020b3f,2010-50,15
frozen-yogurt,/m/020b3f,2010-51,18
frozen-yogurt,/m/020b3f,2010-52,29
frozen-yogurt,/m/020b3f,2011-01,35
frozen-yogurt,/m/020b3f,2011-02,27
frozen-yogurt,/m/020b3f,2011-03,30
frozen-yogurt,/m/020b3f,2011-04,33
frozen-yogurt,/m/020b3f,2011-05,30
frozen-yogurt,/m/020b3f,2011-06,28
frozen-yogurt,/m/020b3f,2011-07,33
frozen-yogurt,/m/020b3f,2011-08,36
frozen-yogurt,/m/020b3f,2011-09,38
frozen-yogurt,/m/020b3f,2011-10,37
frozen-yogurt,/m/020b3f,2011-11,38
frozen-yogurt,/m/020b3f,2011-12,41
frozen-yogurt,/m/020b3f,2011-13,45
frozen-yogurt,/m/020b3f,2011-14,53
frozen-yogurt,/m/020b3f,2011-15,48
frozen-yogurt,/m/020b3f,2011-16,45
frozen-yogurt,/m/020b3f,2011-17,45
frozen-yogurt,/m/020b3f,2011-18,44
